type,ntemp,fraction,slope,redshift,redshift_error,age,age_error,obj_id,phase
Ia,107,0.79,0.018,0.1076,0.0054,15.9,21.636,739,12.5
Ia-norm,90,0.67,0.003,0.1073,0.0047,16.1,21.524,739,12.5
Ia-91T,12,0.09,0.0199,0.1123,0.0072,13.9,18.282,739,12.5
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ia-csm,1,0.01,0.0,0.1089,0.0,9.4,0.0,739,12.5
Ia-pec,4,0.03,-0.0108,0.1018,0.0055,35.6,34.519,739,12.5
Ib,15,0.11,-0.0417,0.1014,0.0036,1.2,6.803,739,12.5
Ib-norm,2,0.01,0.0,0.1072,0.0089,14.2,7.354,739,12.5
Ib-pec,13,0.1,-0.0358,0.1014,0.0014,-0.7,4.332,739,12.5
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic,13,0.1,0.0164,0.114,0.0064,3.4,17.382,739,12.5
Ic-norm,10,0.07,0.0224,0.1161,0.0061,2.0,9.929,739,12.5
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic-broad,3,0.02,0.0,0.1094,0.0038,40.3,9.339,739,12.5
II,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ia,103,0.98,0.0026,0.1912,0.0063,0.3,5.007,762,-3.2000000001862645
Ia-norm,91,0.87,-0.049,0.1907,0.006,0.3,5.19,762,-3.2000000001862645
Ia-91T,9,0.09,0.0492,0.1954,0.007,0.8,3.652,762,-3.2000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia-pec,3,0.03,0.0,0.1955,0.0009,-1.4,1.617,762,-3.2000000001862645
Ib,2,0.02,0.0,0.1899,0.0084,1.7,8.768,762,-3.2000000001862645
Ib-norm,2,0.02,0.0,0.1899,0.0084,1.7,8.768,762,-3.2000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia,66,0.78,0.0105,0.0932,0.0071,16.3,6.986,774,13.5
Ia-norm,47,0.55,-0.1207,0.0927,0.005,16.3,4.986,774,13.5
Ia-91T,14,0.16,0.1982,0.0959,0.0067,16.5,6.004,774,13.5
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Ia-pec,5,0.06,-0.0148,0.0763,0.009,14.3,18.538,774,13.5
Ib,6,0.07,-0.0255,0.0882,0.0054,8.5,7.319,774,13.5
Ib-norm,4,0.05,-0.0042,0.0893,0.0066,9.15,5.346,774,13.5
Ib-pec,2,0.02,0.0,0.0882,0.0018,0.35,4.313,774,13.5
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Ic,13,0.15,0.0093,0.0953,0.0088,8.6,11.996,774,13.5
Ic-norm,11,0.13,0.0246,0.1002,0.0096,4.65,11.432,774,13.5
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Ic-broad,2,0.02,0.0,0.0951,0.0003,24.05,3.465,774,13.5
II,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,774,13.5
Ia,42,0.41,-0.0887,0.1393,0.0047,15.15,19.112,1032,11.299999999813735
Ia-norm,26,0.25,0.0,0.1404,0.0049,17.25,17.597,1032,11.299999999813735
Ia-91T,1,0.01,0.0,0.1381,0.0,17.4,0.0,1032,11.299999999813735
Ia-91bg,14,0.14,-0.0292,0.1387,0.0044,4.0,21.984,1032,11.299999999813735
Ia-csm,1,0.01,0.0,0.1333,0.0,9.4,0.0,1032,11.299999999813735
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ib,14,0.14,-0.0321,0.1285,0.0037,6.05,13.525,1032,11.299999999813735
Ib-norm,1,0.01,0.0,0.1382,0.0,9.3,0.0,1032,11.299999999813735
Ib-pec,1,0.01,0.0,0.1368,0.0,-18.5,0.0,1032,11.299999999813735
IIb,12,0.12,-0.0259,0.1282,0.0022,6.05,11.672,1032,11.299999999813735
Ic,32,0.31,0.145,0.1407,0.0036,14.9,10.785,1032,11.299999999813735
Ic-norm,24,0.23,0.0612,0.1404,0.0038,13.9,9.593,1032,11.299999999813735
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ic-broad,8,0.08,0.0695,0.1418,0.0032,19.2,11.45,1032,11.299999999813735
II,15,0.15,0.0,0.1129,0.0021,68.0,22.128,1032,11.299999999813735
IIP,15,0.15,0.0,0.1129,0.0021,68.0,22.128,1032,11.299999999813735
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia,12,0.86,-0.1905,0.2714,0.006,2.95,4.94,1112,9.0
Ia-norm,7,0.5,0.0,0.2705,0.0058,5.5,3.685,1112,9.0
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ia-91bg,4,0.29,0.381,0.2727,0.002,-2.9,1.708,1112,9.0
Ia-csm,1,0.07,0.0,0.2582,0.0,9.4,0.0,1112,9.0
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ib,2,0.14,0.1905,0.2515,0.0046,13.4,0.0,1112,9.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
IIb,2,0.14,0.1905,0.2515,0.0046,13.4,0.0,1112,9.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1112,9.0
Ia,8,0.89,0.0,0.382,0.0063,7.7,2.963,1166,9.600000000093132
Ia-norm,1,0.11,0.0,0.3978,0.0,0.3,0.0,1166,9.600000000093132
Ia-91T,1,0.11,0.0,0.3795,0.0,8.5,0.0,1166,9.600000000093132
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ia-csm,2,0.22,0.0,0.3782,0.0002,7.5,2.687,1166,9.600000000093132
Ia-pec,4,0.44,0.0,0.3822,0.0002,7.7,1.253,1166,9.600000000093132
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ic,1,0.11,0.0,0.3984,0.0,-5.6,0.0,1166,9.600000000093132
Ic-norm,1,0.11,0.0,0.3984,0.0,-5.6,0.0,1166,9.600000000093132
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1166,9.600000000093132
Ia,191,1.0,0.0,0.0901,0.005,-0.2,5.033,1241,0.6000000000931323
Ia-norm,170,0.89,0.0152,0.0901,0.0048,-0.3,5.153,1241,0.6000000000931323
Ia-91T,8,0.04,-0.0034,0.0977,0.0043,0.55,2.472,1241,0.6000000000931323
Ia-91bg,5,0.03,-0.0028,0.0879,0.0037,-2.7,2.442,1241,0.6000000000931323
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ia-pec,8,0.04,-0.011,0.088,0.0047,4.75,4.878,1241,0.6000000000931323
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ia,45,1.0,0.0,0.2635,0.0063,3.3,5.675,1253,2.7000000001862645
Ia-norm,36,0.8,-0.01,0.2631,0.0068,3.3,5.258,1253,2.7000000001862645
Ia-91T,1,0.02,0.0367,0.2723,0.0,0.8,0.0,1253,2.7000000001862645
Ia-91bg,1,0.02,-0.0032,0.2615,0.0,-0.4,0.0,1253,2.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-pec,7,0.16,-0.0217,0.2649,0.0037,5.2,8.268,1253,2.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia,45,1.0,0.0,0.2635,0.0063,3.3,5.675,1253,2.7000000001862645
Ia-norm,36,0.8,-0.01,0.2631,0.0068,3.3,5.258,1253,2.7000000001862645
Ia-91T,1,0.02,0.0367,0.2723,0.0,0.8,0.0,1253,2.7000000001862645
Ia-91bg,1,0.02,-0.0032,0.2615,0.0,-0.4,0.0,1253,2.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-pec,7,0.16,-0.0217,0.2649,0.0037,5.2,8.268,1253,2.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
NotSN,1,1.0,0.0,0.1162,0.0,0.0,0.0,1371,4.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Gal,1,1.0,0.0,0.1162,0.0,0.0,0.0,1371,4.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1371,4.7000000001862645
Ia,14,1.0,0.0,0.1886,0.0047,1.6,5.489,1580,3.0
Ia-norm,6,0.43,0.0,0.189,0.0023,0.45,6.68,1580,3.0
Ia-91T,1,0.07,0.2667,0.1929,0.0,-0.2,0.0,1580,3.0
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ia-pec,7,0.5,-0.0915,0.1881,0.0059,4.3,4.941,1580,3.0
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1580,3.0
Ia,60,0.88,0.0304,0.3624,0.0068,6.2,4.029,1688,10.700000000186265
Ia-norm,51,0.75,0.0021,0.3625,0.0065,6.1,4.204,1688,10.700000000186265
Ia-91T,4,0.06,0.0445,0.3752,0.0016,3.15,3.592,1688,10.700000000186265
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia-csm,1,0.01,0.0005,0.3574,0.0,5.6,0.0,1688,10.700000000186265
Ia-pec,4,0.06,-0.019,0.3586,0.0006,7.7,1.253,1688,10.700000000186265
Ib,8,0.12,-0.035,0.3512,0.0007,-3.15,2.819,1688,10.700000000186265
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ib-pec,8,0.12,-0.035,0.3512,0.0007,-3.15,2.819,1688,10.700000000186265
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia,123,0.65,0.0601,0.1421,0.0058,11.2,11.122,1794,12.399999999906868
Ia-norm,100,0.53,-0.019,0.1415,0.0054,11.35,12.09,1794,12.399999999906868
Ia-91T,12,0.06,0.0707,0.1447,0.0065,11.55,5.813,1794,12.399999999906868
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia-csm,1,0.01,0.0,0.1419,0.0,9.4,0.0,1794,12.399999999906868
Ia-pec,10,0.05,-0.0109,0.1431,0.0071,9.35,3.967,1794,12.399999999906868
Ib,38,0.2,-0.033,0.1336,0.0068,0.65,12.426,1794,12.399999999906868
Ib-norm,9,0.05,0.0002,0.1388,0.0061,3.9,4.937,1794,12.399999999906868
Ib-pec,23,0.12,-0.0186,0.1294,0.0071,-3.6,12.431,1794,12.399999999906868
IIb,6,0.03,0.0,0.1345,0.0026,10.1,2.108,1794,12.399999999906868
Ic,29,0.15,-0.0265,0.1403,0.0063,3.1,11.068,1794,12.399999999906868
Ic-norm,27,0.14,-0.0242,0.1403,0.0065,2.4,10.982,1794,12.399999999906868
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ic-broad,2,0.01,0.0,0.1406,0.0029,17.7,5.515,1794,12.399999999906868
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia,28,1.0,-0.0,0.2582,0.0079,4.25,5.524,2017,0.10000000009313226
Ia-norm,23,0.82,-0.0645,0.258,0.0085,3.5,5.902,2017,0.10000000009313226
Ia-91T,1,0.04,0.1108,0.2667,0.0,0.8,0.0,2017,0.10000000009313226
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ia-pec,4,0.14,-0.0588,0.2578,0.0038,6.75,1.443,2017,0.10000000009313226
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.10000000009313226
